year,state_population,murder,robbery,agg_assault,burglary,larceny,vehicle_theft,rape,murder_cutting,murder_firearms,murder_other,murder_unarmed,mass_shootings,hate_crime_murder,hate_crime_other,state,total
2004,5096546,113,4070,7445,28048,113453,13518,2123,19,73,7,11,0,0,239,Minnesota,169009
2004,2900768,227,2503,4677,27661,65440,7879,1161,22,124,22,7,0,0,2,Mississippi,109550
2004,5759532,354,6630,19763,40472,158264,25893,1479,37,243,68,5,0,0,71,Missouri,252926
2004,926920,30,233,2187,3515,22082,1618,273,7,11,1,4,0,0,50,Montana,29988
2004,1747704,40,1138,3595,9826,46399,5287,620,3,17,4,3,0,0,59,Nebraska,66964
2004,2332898,172,4905,8348,23142,52438,22635,954,24,110,30,8,0,0,81,Nevada,112675
2004,1299169,17,500,1219,4979,19723,1956,466,3,4,4,2,0,0,49,New Hampshire,28909
2004,8685166,392,13076,16144,41030,139977,30306,1331,69,230,56,36,0,0,769,New Jersey,243025
2004,1903006,169,2062,9811,19924,52069,7902,1039,28,75,29,18,0,0,22,New Mexico,92998
2004,19280727,889,33506,46911,70696,311036,41002,3608,173,500,123,68,0,0,386,New York,508034
2004,8540468,532,11782,23591,101193,227147,26988,2339,67,284,84,42,0,0,67,North Carolina,393639
2004,636308,8,43,330,2040,9516,937,177,0,4,3,1,0,0,10,North Dakota,13061
2004,11450143,506,17429,16108,96518,282168,40651,4744,57,245,113,49,1,0,354,Ohio,458479
2004,3523546,186,3090,12802,35244,101271,12957,1557,32,106,27,21,0,1,50,Oklahoma,167158
2004,3591363,90,2751,6600,30072,117868,18535,1283,19,48,19,4,0,0,155,Oregon,177354
2004,12394471,650,18474,28339,54443,214199,30969,3535,54,449,111,18,0,0,99,Pennsylvania,350708
2004,1079916,26,731,1596,5465,21623,4078,320,3,16,3,4,0,0,29,Rhode Island,33868
2004,4197892,286,5468,25634,43739,130991,15726,1772,38,194,38,17,0,0,102,South Carolina,223718
2004,770621,17,112,854,3148,10890,847,336,4,5,7,0,0,0,7,South Dakota,16211
2004,5893298,357,8863,29611,60386,169828,24777,2282,48,221,53,28,0,1,135,Tennessee,296240
2004,22471549,1364,35817,75985,220118,696507,94077,8388,211,882,179,90,0,1,296,Texas,1132553
2004,2420708,46,1236,3398,15225,74889,7648,967,2,12,6,1,0,0,60,Utah,103469
2004,621233,16,78,459,3435,10537,587,160,7,3,6,0,0,0,28,Vermont,15300
2004,7481332,390,6899,11503,28759,154154,17455,1816,44,270,61,15,0,0,310,Virginia,221286
2004,6207046,190,5866,12417,60632,196972,43233,2857,29,106,35,19,0,0,175,Washington,322342
2004,1812548,68,774,3922,10994,31566,3766,346,8,31,18,5,0,0,45,West Virginia,51481
2004,5503533,154,4067,6191,23854,111482,11374,1136,20,99,18,17,1,1,37,Wisconsin,158297
2004,505887,11,67,973,2738,13352,799,112,3,3,4,1,0,0,4,Wyoming,18056
2005,4548327,374,6447,11293,43473,120780,13140,1564,25,223,62,16,0,0,5,Alabama,197076
2005,663253,32,537,3087,4131,17249,2595,538,4,19,6,3,0,0,4,Alaska,28173
2005,5953007,445,8579,19448,56328,176112,54905,2006,43,334,34,29,0,0,194,Arizona,318017
2005,2775708,189,2532,10747,30118,75510,7286,1202,26,120,21,9,0,0,135,Arkansas,127719
2005,36154147,2503,63622,114661,250521,692467,257543,9392,288,1845,237,133,0,1,1379,California,1392089
2005,4663295,173,3948,12351,34746,127602,26101,2026,32,109,23,6,0,0,125,Colorado,207072
2005,3500701,105,3933,4792,15245,64416,10609,712,14,47,20,10,0,1,102,Connecticut,99915
2005,841741,37,1306,3612,5811,18085,2349,377,8,23,2,4,0,0,49,Delaware,31626
2005,17768191,883,30141,88341,164783,472912,75303,6592,,,,,0,1,230,Florida,839186
2005,9132553,564,14041,23977,84463,249594,44477,2143,68,370,73,5,0,0,17,Georgia,419276
2005,1273278,24,1001,1885,9792,42188,9135,343,9,2,4,5,0,,,Hawaii,64368
2005,1429367,35,266,2792,8066,27606,2884,577,1,23,6,4,0,0,28,Idaho,42254
2005,12765427,770,23255,42158,77635,277662,39373,4313,51,339,37,21,0,0,168,Illinois,465334
2005,6266019,356,6809,11281,43756,151278,21744,1856,24,238,52,17,0,0,54,Indiana,237134
2005,2965524,40,1153,6657,18147,60723,5500,847,5,21,5,7,0,0,31,Iowa,93098
2005,2748172,101,1795,7707,19028,76222,9338,1098,16,52,20,7,0,0,73,Kansas,115362
2005,4172608,190,3690,5833,26458,70354,8796,1421,15,124,24,14,0,0,46,Kentucky,116788
2005,4507331,450,5337,19681,39382,112840,14389,1421,46,309,34,10,0,0,17,Louisiana,193517
2005,1318220,19,323,815,6323,24218,1348,326,4,7,4,4,0,0,57,Maine,33429
2005,5589599,552,14378,23173,35922,128491,34070,1266,68,418,47,18,0,0,195,Maryland,238047
2005,6433367,178,7837,19878,34728,98079,18920,1751,39,94,31,7,0,0,374,Massachusetts,181745
2005,10100833,629,13348,36760,70527,194090,48275,5199,52,421,118,23,0,0,607,Michigan,369435
2005,5126739,115,4724,8146,29716,114304,14281,2258,16,73,15,11,1,0,206,Minnesota,173751
2005,2908496,214,2405,4365,26866,60873,7492,1147,25,113,15,10,0,0,3,Mississippi,103365
2005,5797703,402,7196,21254,42822,159288,25699,1625,48,281,63,9,0,0,78,Missouri,258364
2005,934737,18,177,2138,3642,23794,1971,301,5,5,5,2,0,0,65,Montana,32106
2005,1758163,44,1040,3387,9408,45359,5581,581,1,5,3,4,0,0,71,Nebraska,65471
2005,2412301,206,4702,8730,23481,52012,26931,1016,26,124,41,14,0,0,77,Nevada,117155
2005,1306819,19,365,971,4192,18493,1346,406,5,6,4,1,0,0,33,New Hampshire,25825
2005,8703150,417,13215,16079,38980,136728,27683,1208,62,276,41,38,0,0,738,New Jersey,235048
2005,1925985,144,1893,9370,20939,50707,7929,1041,28,66,22,17,0,0,18,New Mexico,92041
2005,19315721,874,35179,46150,68034,302220,35736,3636,188,500,107,73,0,0,498,New York,492327
2005,8672459,585,12635,25128,104298,221091,28466,2302,66,353,96,51,0,0,89,North Carolina,394594
2005,634605,12,54,460,2043,9732,1073,180,1,1,5,0,0,0,12,North Dakota,13566
2005,11470685,590,18673,16228,100183,279051,41471,4671,58,313,125,53,0,0,191,Ohio,461058
2005,3543442,187,3230,13146,35692,93814,13900,1481,19,129,22,17,0,1,40,Oklahoma,161491
2005,3638871,80,2478,6620,27621,113316,19262,1266,11,48,17,3,0,0,138,Oregon,170781
2005,12405348,756,19214,29205,56134,214916,29394,3586,88,528,97,21,0,0,80,Pennsylvania,353285
2005,1073579,34,776,1577,5319,19567,4401,323,5,16,7,6,0,0,15,Rhode Island,32012
2005,4246933,314,5657,24757,42741,126489,16376,1862,37,217,36,22,0,0,98,South Carolina,218294
2005,774883,18,145,847,2505,10350,839,377,3,6,3,2,0,0,9,South Dakota,15090
2005,5955745,431,10009,32470,61508,169357,25228,2194,48,301,50,29,0,0,120,Tennessee,301317
2005,22928508,1407,35790,75383,219828,677042,93423,8511,205,946,173,82,1,1,263,Texas,1111649
2005,2490334,56,1095,3541,14971,72082,8493,920,12,27,10,7,0,0,41,Utah,101199
2005,622387,8,76,545,3185,10894,670,153,1,5,1,1,0,0,34,Vermont,15565
2005,7564327,458,7495,11718,29829,154584,15991,1763,51,318,68,22,0,0,293,Virginia,222131
2005,6291899,205,5788,12941,60343,198031,49287,2811,40,126,19,20,0,1,170,Washington,329577
2005,1814083,82,816,3735,11334,32603,3820,335,3,40,19,10,0,0,46,West Virginia,52771
2005,5527644,206,4555,7471,24448,110531,12577,1135,23,132,27,12,1,0,45,Wisconsin,160969
2005,508798,14,78,958,2426,12905,739,122,1,7,3,3,0,0,3,Wyoming,17245
2006,4599030,382,7062,10463,44780,121451,15018,1646,35,247,51,16,0,0,5,Alabama,200807
2006,670053,36,600,3462,4155,17284,2536,512,8,22,2,3,0,0,6,Alaska,28591
2006,6166318,533,9491,20983,59418,178321,56650,2449,53,343,46,20,0,0,169,Arizona,328014
2006,2810872,205,2749,11259,31864,72646,7515,1325,22,134,34,11,0,0,113,Arkansas,127676
2006,36457549,2486,71142,111620,247230,669103,243655,9235,315,1822,218,130,1,1,1296,California,1355769
2006,4753377,171,3824,12641,32411,110372,20656,2158,35,85,16,20,0,0,140,Colorado,182373
2006,3504809,137,4460,5212,15583,64765,10290,696,18,65,12,5,0,0,127,Connecticut,101270
2006,853476,42,1791,3733,6337,20449,2884,417,7,27,6,1,0,0,49,Delaware,35702
2006,18089888,1129,34147,87851,170873,473774,76454,6475,,,,,0,1,215,Florida,850919
2006,9363941,605,15511,26469,85140,234445,43127,2169,64,403,67,14,0,0,13,Georgia,407479
2006,1285498,21,1144,2090,8724,37784,7739,353,3,7,6,5,0,,,Hawaii,57855
2006,1466465,35,294,2726,7545,25154,2436,611,6,22,5,3,0,0,22,Idaho,38823
2006,12831970,780,23782,40858,77259,272578,37641,4078,46,392,35,14,0,0,156,Illinois,457132
2006,6313520,361,7175,10956,45538,150655,21590,1811,36,239,45,19,0,0,40,Indiana,238126
2006,2982085,55,1309,6286,18160,60998,5044,871,13,23,11,7,0,0,29,Iowa,92752
2006,2764075,125,1878,8678,20086,75450,8724,1279,14,70,33,9,0,0,111,Kansas,116331
2006,4206074,173,3850,6026,27867,72197,9364,1312,22,98,16,14,0,0,66,Kentucky,120855
2006,4287768,555,5928,22853,46703,112605,15667,1587,35,396,37,20,0,0,22,Louisiana,205920
2006,1321574,23,383,786,6846,25465,1347,341,1,12,8,2,0,0,57,Maine,35248
2006,5615727,546,14376,22011,37459,127502,30523,1178,72,403,46,25,0,0,212,Maryland,233807
2006,6437193,188,8080,22178,35243,100725,17975,1771,42,111,28,4,0,0,384,Massachusetts,186544
2006,10095643,721,14229,36684,76313,199183,50098,5347,50,498,134,29,0,0,614,Michigan,383189
2006,5167101,126,5441,8830,30306,115693,13277,1645,20,75,9,13,0,0,137,Minnesota,175455
2006,2910540,231,3259,4547,27117,57406,8330,1039,18,121,24,10,0,0,3,Mississippi,101932
2006,5842713,369,7597,22167,44734,153874,25399,1764,36,246,41,11,0,0,82,Missouri,255986
